"year","rank","male","female"
1982,12,"Ramazan","Filiz"
1982,13,"Hakan","Songül"
1982,14,"Ömer","Meryem"
1982,15,"Osman","Hülya"
1982,16,"Adem","Sibel"
1982,17,"Gökhan","Esra"
1982,18,"Yusuf","Arzu"
1982,19,"Erkan","Çiğdem"
1982,20,"Kenan","Nurcan"
1982,21,"Abdullah","Leyla"
1982,22,"Serdar","Hacer"
1982,23,"Halil","Sultan"
1982,24,"Süleyman","Tuğba"
1982,25,"Orhan","Zehra"
1982,26,"Mahmut","Selma"
1982,27,"Ercan","Melek"
1982,28,"Recep","Semra"
1982,29,"Ümit","Serpil"
1982,30,"Kadir","Serap"
1982,31,"Engin","Aynur"
1982,32,"Sinan","Neslihan"
1982,33,"Erhan","Ayşegül"
1982,34,"Metin","Sevgi"
1982,35,"Yasin","Havva"
1982,36,"Uğur","Emel"
1982,37,"Volkan","Burcu"
1982,38,"Mesut","Nuray"
1982,39,"Özgür","Sevda"
1982,40,"Sedat","Aysel"
1982,41,"Ferhat","Meral"
1982,42,"Harun","Canan"
1982,43,"Selçuk","Fadime"
1982,44,"Emre","Ebru"
1982,45,"Bayram","Zeliha"
1982,46,"Salih","Gülay"
1982,47,"Onur","Şerife"
1982,48,"Kemal","İlknur"
1982,49,"Ayhan","Sema"
1982,50,"Erdal","Yeliz"
1982,51,"Yunus","Gülcan"
1982,52,"İsa","Rukiye"
1982,53,"Özkan","Hanife"
1982,54,"Ersin","Halime"
1982,55,"Musa","Sevim"
1982,56,"Aydın","Aysun"
1982,57,"Muhammet","Aslı"
1982,58,"Yılmaz","Kadriye"
1982,59,"Mehmet Ali","Tülay"
1982,60,"Emrah","Şükran"
1982,61,"Cengiz","Mehtap"
1982,62,"Barış","Ayten"
1982,63,"Yakup","Selda"
1982,64,"Yaşar","Yıldız"
1982,65,"Erol","Gönül"
1982,66,"Cihan","Deniz"
1982,67,"Bilal","Cemile"
1982,68,"Tuncay","Tuba"
1982,69,"Levent","Seher"
1982,70,"Bekir","Ayfer"
1982,71,"Erdem","Gülşen"
1982,72,"Zafer","Duygu"
1982,73,"Soner","Gülsüm"
1982,74,"Faruk","Esma"
1982,75,"Selim","Türkan"
1982,76,"Ferdi","Seda"
1982,77,"Ufuk","Zübeyde"
1982,78,"Serhat","Bahar"
1982,79,"İlhan","Öznur"
1982,80,"Özcan","Güler"
1982,81,"Arif","Nurgül"
1982,82,"Yavuz","Nurten"
1982,83,"Vedat","Asiye"
1982,84,"Abdurrahman","Necla"
1982,85,"Alper","Birgül"
1982,86,"İlker","Neşe"
1982,87,"Bülent","Medine"
1982,88,"Burhan","Şenay"
1982,89,"Ekrem","Nihal"
1982,90,"Muharrem","Nesrin"
1982,91,"Suat","Gülten"
1982,92,"Nihat","Rabia"
1982,93,"Cemil","Hilal"
1982,94,"İrfan","Reyhan"
1982,95,"Cemal","Şengül"
1982,96,"Taner","Keziban"
1982,97,"Veysel","Perihan"
1982,98,"Emin","Gülşah"
1982,99,"Turgay","Remziye"
1982,100,"Halil İbrahim","Sinem"
1983,1,"Mehmet","Fatma"
1983,2,"Mustafa","Ayşe"
1983,3,"Murat","Emine"
1983,4,"Ahmet","Hatice"
1983,5,"Ali","Zeynep"
1983,6,"Fatih","Özlem"
1983,7,"Hüseyin","Elif"
1983,8,"İbrahim","Dilek"
1983,9,"Hasan","Yasemin"
1983,10,"İsmail","Derya"
1983,11,"Ramazan","Esra"
1983,12,"Serkan","Songül"
1983,13,"Gökhan","Pınar"
1983,14,"Ömer","Tuğba"
1983,15,"Hakan","Meryem"
1983,16,"Osman","Filiz"
1983,17,"Adem","Hülya"
1983,18,"Yusuf","Sibel"
1983,19,"Abdullah","Çiğdem"
1983,20,"Erkan","Arzu"
1983,21,"Kenan","Leyla"
1983,22,"Sinan","Nurcan"
1983,23,"Halil","Zehra"
1983,24,"Serdar","Selma"
1983,25,"Selçuk","Hacer"
1983,26,"Süleyman","Melek"
1983,27,"Ümit","Sultan"
1983,28,"Orhan","Neslihan"
1983,29,"Yasin","Ayşegül"
1983,30,"Kadir","Semra"
1983,31,"Mahmut","Serpil"
1983,32,"Recep","Burcu"
1983,33,"Ercan","Emel"
1983,34,"Engin","Serap"
1983,35,"Onur","Ebru"
1983,36,"Metin","Sevgi"
1983,37,"Mesut","Havva"
1983,38,"Emre","Aynur"
1983,39,"Uğur","Canan"
1983,40,"Volkan","Fadime"
1983,41,"Ferhat","Nuray"
1983,42,"Sedat","İlknur"
1983,43,"Özgür","Aysel"
1983,44,"Erdal","Gülay"
1983,45,"Bayram","Zeliha"
1983,46,"Erhan","Şerife"
1983,47,"Harun","Sema"
1983,48,"Salih","Sevda"
1983,49,"Kemal","Seda"
1983,50,"Yunus","Tuba"
1983,51,"Ersin","Rukiye"
1983,52,"Özkan","Meral"
1983,53,"Ayhan","Gülcan"
1983,54,"İsa","Yeliz"
1983,55,"Muhammet","Hanife"
1983,56,"Emrah","Aslı"
1983,57,"Musa","Aysun"
1983,58,"Mehmet Ali","Mehtap"
1983,59,"Aydın","Sevim"
1983,60,"Soner","Halime"
1983,61,"Cihan","Gönül"
1983,62,"Yakup","Duygu"
1983,63,"Cengiz","Kadriye"
1983,64,"Barış","Selda"
1983,65,"Yılmaz","Gülsüm"
1983,66,"Yaşar","Seher"
